Review Title,Customer name,Rating,REMARK,Edited date,Category,Comments,Useful
Awesome device,RamanJakhar,5,1,10/17/18,Others,Top class device... No words!!!, 
Case back no ritan,Pappu Kumar varma,5,1,10/17/18,Others,Case back,
#Horrible experience of Redmi 6pro - Read to know more##,Bhaskar Shanmugam,1,0,9/17/18,Camera,"Please d't buy!!

Horrible phe from Xiaomi!!

The phe is just for people who like showing off the new iPhe notch design. The phe uses an outdated processor and lags terrible in term of performance. When we use more than 4apps at a time, the phe will get hanged and you will be forced to restart the phe. Watching videos for more than 20mins the phe gets extrmely heated and you will have to put it to stanby fir a while before resarting the use of the phe. Very bad multi-tasking. The build quality is okay, but not as good as other budget phe. A flat drop  the frt screen side if hit hardly will crack the screen. The frt camera is extremely poor and has been downgraded and doesn't produce even a decent quality picture. Selfie lovers, please d't even buy this phe you will get a heart ache after looking at your pix. The rear camera picture quality is average and is very unlike of xiaomi.

 the other side, the basic things like the output from the speaker phe and and the earphe are extremely poor and distorted...

The ly c is a decent screen, however that is ctributed by low quality video while played in amaz or netflix..

Had complained to Amaz  the above low quality issues, unfortunately Amaz is not willing to listen, they are saying technically the phe is working and hence it can't taken back.. Unfortunately, in this case Amaz has put its sellers over it buyers who are their bread and butter. Hope Amaz listens to my complaint here and takes measures to improve their service... Just to put things into perspective, an average 6-7k phe is sold at an extremely abnoxiously at a high price of 11k. You can find many better phe at this high price. Please stop buying this phe. Thanks for reading. Extremely sadened  buying this phe...",10 people found this helpful
cant cnect to camera,Desh Deepak APS Chauhan,3,1,10/17/18,Camera,"good rear camera and bad frt camera but software problem so cant cnect to camera error comes  startup of camera!
Far better than asus zenfe max pro m1.
Now feeling the Sy camera quality.
Frt camera is wow (5mp) still taking better than 13mp pics
I am using this phe as a pro photographer now
Wait for e mth and you will get 1090/- off  it.
Thanks amaz
Thanks Mi India.", 
Camera not good,rohan sulgekar,1,0,9/17/18,Others,Not good photo crirati,11 people found this helpful
Not worth the mey paid. Worst camera & screen size,Sreenath Bettanna,1,0,9/17/18,Camera,Camera is too worst csidering price of the phe. Frt camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is ly for namesake and size sake. It's a big let down. Bought this phe csidering notch opti. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better opti than this.,5 people found this helpful
Good phe,Vaibhav Agarwal,5,1,9/17/18,Others,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phe and cover quality,
Good phe,Vaibhav Agarwal,5,1,9/17/18,Others,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phe and cover quality,3 people found this helpful
Value for mey...,Amaz Customer,5,1,9/17/18,Camera,"Working good with Snapdrag 625 which is its best part. Camera is also good in this price range, camera clarity is good. Just go for it..",
Wder full mobile,SILAMBARASAN J,5,1,9/17/18,Display,"Amazing phe like a iphe
Nice built quality
Super camera
Super display
Better battery
Using in single hands to happy
Value for mey", 
Not worth for the price.,Vinod,1,0,9/17/18,Camera,"Same old cfiguratis with higher price.
Not worth for mey.
Camera quality is not up to mark.
Notch - I persally feel this as a feature which is not useful for this size (5.84) of phe. Infact that makes phe looks smaller than 5.84 as notch is also included in size.

There are better optis available in same price range.",
Full display not working in all applicati.,Vaibhav Patel,3,1,9/18/18,Others,Quite good,7 people found this helpful
Not worth for the mey,Sudhakaran Wadakkancheri,2,0,9/18/18,Others,worst product from MI. I am a hardcore fan of MI. But this e really disappointing.,6 people found this helpful
Fantastic,Amaz Customer,4,1,9/18/18,Camera,Frt camera is poor rest things are good,5 people found this helpful
Full display not working in all applicati.,Vaibhav Patel,3,1,9/18/18,Others,Quite good,7 people found this helpful
Not worth for the mey,Sudhakaran Wadakkancheri,2,0,9/18/18,Others,worst product from MI. I am a hardcore fan of MI. But this e really disappointing.,6 people found this helpful
Fantastic,Amaz Customer,4,1,9/18/18,Camera,Frt camera is poor rest things are good,5 people found this helpful
good phe,ANUPOM BHUNIYA,5,1,9/18/18,Others,very good phe of this budget......red colour very beautiful,2 people found this helpful
good phe,ANUPOM BHUNIYA,5,1,9/18/18,Others,very good phe of this budget......red colour very beautiful,2 people found this helpful
Charger not received in the box,Avinash ,5,1,9/18/18,Delivery,Charger not received in the box,e pers found this helpful
Desh ka smartphe,Alok,5,1,9/18/18,Others,e of the best of my purchases, 
Wow phe,Ramiz Sayyed,5,1,9/18/18,Others,Awesome phe....all features available....m super happy with phe,
Np,Y2 user,5,1,9/18/18,Others,Good phe,
Love this product,Deepak kumar,5,1,9/18/18,Others,Wderful phe.....,
Excellent.,Mohd Nazeer,5,1,9/18/18,Display,Excellent mobile good display quality,
Better bakup osm,Amaz Customer,5,1,9/18/18,Others,Nice products ?? . . .,
Very nice,Shiva,4,1,9/18/18,Others,Mobile is very nice.,
Good phe,Danish,5,1,9/18/18,Battery,Battery and camera,
Good,Manju,5,1,9/18/18,Others,User friendly,
Best Phe from Redmi Series,Mohammad Ayyub,5,1,9/18/18,Others,Best,
Best display and advance features,Girish Base,5,1,9/18/18,Others,Nice,
Worst Camera,Pawan Dwivedee ,2,0,9/18/18,Camera,"Frt camera of this phe is like a VGA camera, having very noisy effect. I recommend that please d't buy this phe.",10 people found this helpful
This mobile is defective,Anand harsh,1,0,9/18/18,Display,"I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my mey the amaz customers care representative ,s behavior is very bad there is opti of return  display the amaz company,s app but not return this product so I request to all customers be care full",8 people found this helpful
Best phe forever.,Manish Singh,5,1,9/18/18,Others,Best phe with face unlock full hd video recording and all latest features.,
"Not impressive, Y2 is better",Mudasar Nazar,2,0,9/18/18,Others,"Overall Phe seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phe. I felt Y2 would have been better choice in the same range which I already brought e for the family.

Not satisfied with the looks, screen size and it is a fatty phe.",
Disappointed.,Dinesh Kumar P,1,0,9/18/18,Battery,"Worst, d't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In secd time replacement also having the same frt camera portrait issue, totally waste, audio quality is too low to audible.",
Best phe forever.,Manish Singh,5,1,9/18/18,Others,Best phe with face unlock full hd video recording and all latest features.,20 people found this helpful
"Not impressive, Y2 is better",Mudasar Nazar,2,0,9/18/18,Others,"Overall Phe seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phe. I felt Y2 would have been better choice in the same range which I already brought e for the family.

Not satisfied with the looks, screen size and it is a fatty phe.", 
Disappointed.,Dinesh Kumar P,1,0,9/18/18,Battery,"Worst, d't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In secd time replacement also having the same frt camera portrait issue, totally waste, audio quality is too low to audible.", 
I love mi 6 pro,Anuj kr gupta,5,1,9/18/18,Battery,"Osm product
Amaz is better then flipkart I never buy  1st sale of mi phes  flipkart but in Amaz I order 2 phes in 1st sale quickly
This phe is very good and it's battery backup is amazing I love it very much
And it's camera is very good quality",
Mi is best phe,Sunil Si,4,1,9/18/18,Others,Product is avasome but invoice is note include......,
Nice handy phe with good camera with notch,Abhishek Gupta,4,1,9/19/18,Others,Like every things but fullscreen video playing opti is not available in default player...,3 people found this helpful
Nice performance,Amaz Customer,5,1,9/19/18,Others,Redmi is always good for me and Redmi 6 pro performance is very good and good Bettry backup, 
Aswasom,Aniket ,5,1,9/19/18,Camera,"I love amez
Good packing
Good product
Camera battry good", 
Awesome phe,Amaz Customer,5,1,9/19/18,Display,"Phe is good Quality Dual Camera is Very Best
Full display show good dimensis", 
Awesome,Deepan,5,1,9/19/18,Others,Best to buy...i love it??,
Great product,Su Bhasker,5,1,9/19/18,Delivery,"Very happy with this mobile
Fast delivery got my parcel in just 22 hours",
Good,sameer,4,1,9/19/18,Others,Good mm??????,
Excellent,????? ?????,5,1,9/19/18,Others,Excellent,
Gud product,Jyoti thakur,5,1,9/19/18,Others,Value for mey,
Good service,Shaikh shahrukh.,5,1,9/19/18,Others,Good product,
Awesome,Shubham,5,1,9/19/18,Others,Good,
Superb,Harsha,5,1,9/19/18,Others,Good,
Joordaar maja aaa gya,Joginder Singh ahuja,5,1,9/19/18,Others,Nice,
"Very Terrible, Worst Smartphe.",Aniket Sidanale,1,0,9/19/18,Camera,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my mey.",
"Very Terrible, Worst Smartphe.",Aniket Sidanale,1,0,9/19/18,Camera,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my mey.", 
"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal",Subbhajit jana,1,0,9/19/18,Display,"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used ly Display quality is excellent... price should be 9090-9509.Damaged charger given Amaz is cheating people",
19:9 display awesome,Surendra namdev,5,1,9/19/18,Battery,i love it awesome phe 11k camera battery super b,
Dt Buy,Sameet S.,1,0,9/19/18,Battery,"Charging issue
Lagging issue
hanging issue
multiple issue.",
"Cemera quality,face unlock most important in this phe",Rahul,5,1,9/19/18,Others,"I like This Phe, Awesome look and design.
I'm using this phe",
Design can be better,Rahul Mhatre,3,1,9/2/18,Others,The product is great with quite good features. I am great fan of xiaomi and I have been always using Xiaomi phes. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phes have same design. Xiaomi always being giving with so many features but being realme entering in market Xiaomi has to be more creative to attract more indian customers.,e pers found this helpful
Best Mobile in this price category.,Rahul.K.R,4,1,10/2/18,Battery,"Nice mobile, battery backup is good, camera gud, e limitati is frt camera- 5 no, slim & light weight mobile",e pers found this helpful
Awesome phe,GOURAB ROY,5,1,10/2/18,Battery,Good mobile.. battery backup good,
Best budget phe,Akash Sharma,5,1,10/2/18,Others,This phe is simply awesome in this price range??,
Good work.,Korjani Yogesh,5,1,10/2/18,Others,Nice phe.,
Handy,Nitish,5,1,10/2/18,Battery,Slow charging,
Ni,Amaz Customer,1,0,9/2/18,Others,No,
Pros and cs,Amaz Customer,5,1,9/20/18,Display,"No company can provide u these features
Pros:
AWESOME display
Great video stablisati
Great battery
Great performance
Looks beatifull

Cs:
Okk frt camera( not very bad csidering price)",2 people found this helpful
Superb Phe. Good for Performance.,Tharun,5,1,9/20/18,Display,"Good phe at such a valuable price. Notch display.
Value for mey",2 people found this helpful
Fantastic,RAHEEL,5,1,9/20/18,Others,"Great product, fully met my expectatis....",e pers found this helpful
Not good as expected,Bidyut Majumder,1,0,9/20/18,Others,Do not buy.,e pers found this helpful
Fantastic,RAHEEL,5,1,9/20/18,Others,"Great product, fully met my expectatis....",e pers found this helpful
Not good as expected,Bidyut Majumder,1,0,9/20/18,Others,Do not buy.,e pers found this helpful
Weste of mey,......,1,0,9/20/18,Camera,Both Camera quality is bed.its price is too high and quality are lowest.,2 people found this helpful
Great looking,Tuhin Kundu,5,1,10/20/18,Battery,"Picture perfect camera
Great sound
Good battery life
Value for mey",
5/4.5,manoranjan kumat,5,1,10/20/18,Battery,"Battery is good
Phe is good
Camera is good
Praformens is good",
Thanks to Amaz,Salman,5,1,10/20/18,Others,"Very very nice and budget smartphe good xiaomi

Thanks Amaz",
Super phe,mahi kumar,5,1,10/20/18,Others,This is the best phe mi phe,
Awesome,Amaz Customer,5,1,10/20/18,Others,e of best mobile compare to nokia 6 1 plus,
Redmi 6 pro reviee,Amaz Customer,5,1,10/20/18,Display,Display Quality and battery backup is good,
Good,Jay,3,1,10/20/18,Others,Low pictures clarity,
Nice product in cheap price, NANDKISHOR WANARE,5,1,10/20/18,Others,I have fall in love,
No thanks,KAILAS Ramchandra Throat,5,1,10/20/18,Others,No thanks,
Value of mey,Ahir Dipak Ram,4,1,10/20/18,Others,Superb product,
super,Kiran ,5,1,10/20/18,Others,super,
Nice,Saif,5,1,10/20/18,Others,Nice,
Good,Raj kumar,5,1,10/20/18,Others,Good,
Gty,Shakeel ahamad,5,1,10/20/18,Others,Jiiy,
A compact power pack Device with great battery and a decent camera,kunal Sethi,5,1,10/20/18,Display,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cs after 1 day of use. (will update so)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cs
The ly c I felt is frt camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are cfused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",
A compact power pack Device with great battery and a decent camera,kunal Sethi,5,1,9/20/18,Display,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cs after 1 day of use. (will update so)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cs
The ly c I felt is frt camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are cfused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",2 people found this helpful
excellent this redmi 6 Pro,Dalowar,5,1,9/20/18,Others,excellent this redmi 6 Pro so nice product of redmi product thank you for xiaomi,
D't buy camera quality extreme poor.,shivam p.,1,0,9/20/18,Camera,"I got this product today camera both frt and back are not upto mark.
Pixels are scattered. Please d't buy this phe just because u r getting it for 11k.", 
Overall Nice,Protap G.,4,1,9/20/18,Camera,"Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming.
Back camera is awesome.
But,if you are a selfie lover so then you should not go with this.
It ctains Ir blaster,there are no other phes provides that.",e pers found this helpful
Not good as expected,Bidyut Majumder,1,0,9/20/18,Others,Do not buy., 
Mi 6pro review,darpan n parekh,3,1,9/21/18,Camera,Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect,3 people found this helpful
